name,path,width,height,area,wall_count,wall_rate,box_count,box_rate,target_count,box_on_target_count,effective_box_count,effective_box_rate
"Level_084","Assets/Resources/Levels/Microban1/Level_084.asset",12,10,120,52,0.433333,3,0.025,3,0,3,0.025
"Level_085","Assets/Resources/Levels/Microban1/Level_085.asset",11,11,121,50,0.413223,3,0.024793,3,0,3,0.024793
"Level_086","Assets/Resources/Levels/Microban1/Level_086.asset",9,8,72,32,0.444444,4,0.055556,4,0,4,0.055556
"Level_087","Assets/Resources/Levels/Microban1/Level_087.asset",9,10,90,41,0.455556,4,0.044444,4,0,4,0.044444
"Level_088","Assets/Resources/Levels/Microban1/Level_088.asset",11,12,132,57,0.431818,3,0.022727,3,0,3,0.022727
"Level_089","Assets/Resources/Levels/Microban1/Level_089.asset",10,9,90,43,0.477778,4,0.044444,4,0,4,0.044444
"Level_090","Assets/Resources/Levels/Microban1/Level_090.asset",10,7,70,34,0.485714,4,0.057143,4,0,4,0.057143
"Level_091","Assets/Resources/Levels/Microban1/Level_091.asset",11,5,55,32,0.581818,4,0.072727,4,0,4,0.072727
"Level_092","Assets/Resources/Levels/Microban1/Level_092.asset",15,10,150,59,0.393333,3,0.02,3,0,3,0.02
"Level_093","Assets/Resources/Levels/Microban1/Level_093.asset",11,11,121,52,0.429752,8,0.066116,8,4,4,0.033058
"Level_094","Assets/Resources/Levels/Microban1/Level_094.asset",9,8,72,37,0.513889,3,0.041667,3,0,3,0.041667
"Level_095","Assets/Resources/Levels/Microban1/Level_095.asset",8,8,64,28,0.4375,8,0.125,8,0,8,0.125
"Level_096","Assets/Resources/Levels/Microban1/Level_096.asset",11,11,121,49,0.404959,3,0.024793,3,0,3,0.024793
"Level_097","Assets/Resources/Levels/Microban1/Level_097.asset",14,10,140,49,0.35,5,0.035714,5,0,5,0.035714
"Level_098","Assets/Resources/Levels/Microban1/Level_098.asset",16,10,160,64,0.4,5,0.03125,5,0,5,0.03125
"Level_099","Assets/Resources/Levels/Microban1/Level_099.asset",22,10,220,79,0.359091,4,0.018182,4,0,4,0.018182
"Level_100","Assets/Resources/Levels/Microban1/Level_100.asset",8,8,64,33,0.515625,4,0.0625,4,0,4,0.0625
"Level_101","Assets/Resources/Levels/Microban1/Level_101.asset",13,13,169,65,0.384615,5,0.029586,5,4,1,0.005917
"Level_102","Assets/Resources/Levels/Microban1/Level_102.asset",11,8,88,40,0.454546,4,0.045455,4,0,4,0.045455
"Level_103","Assets/Resources/Levels/Microban1/Level_103.asset",8,8,64,30,0.46875,4,0.0625,4,0,4,0.0625
"Level_104","Assets/Resources/Levels/Microban1/Level_104.asset",9,9,81,35,0.432099,3,0.037037,3,0,3,0.037037
"Level_105","Assets/Resources/Levels/Microban1/Level_105.asset",11,11,121,56,0.46281,8,0.066116,8,4,4,0.033058
"Level_106","Assets/Resources/Levels/Microban1/Level_106.asset",10,9,90,39,0.433333,5,0.055556,5,0,5,0.055556
"Level_107","Assets/Resources/Levels/Microban1/Level_107.asset",8,8,64,28,0.4375,11,0.171875,11,10,1,0.015625
"Level_108","Assets/Resources/Levels/Microban1/Level_108.asset",15,8,120,52,0.433333,4,0.033333,4,0,4,0.033333
"Level_109","Assets/Resources/Levels/Microban1/Level_109.asset",9,13,117,64,0.547009,5,0.042735,5,0,5,0.042735
"Level_110","Assets/Resources/Levels/Microban1/Level_110.asset",9,9,81,33,0.407407,4,0.049383,4,0,4,0.049383
"Level_111","Assets/Resources/Levels/Microban1/Level_111.asset",9,12,108,44,0.407407,6,0.055556,6,0,6,0.055556
"Level_112","Assets/Resources/Levels/Microban1/Level_112.asset",10,13,130,56,0.430769,5,0.038462,5,0,5,0.038462
"Level_113","Assets/Resources/Levels/Microban1/Level_113.asset",14,13,182,57,0.313187,4,0.021978,4,0,4,0.021978
"Level_114","Assets/Resources/Levels/Microban1/Level_114.asset",11,9,99,42,0.424242,6,0.060606,6,0,6,0.060606
"Level_115","Assets/Resources/Levels/Microban1/Level_115.asset",12,8,96,41,0.427083,5,0.052083,5,0,5,0.052083
"Level_116","Assets/Resources/Levels/Microban1/Level_116.asset",10,7,70,31,0.442857,5,0.071429,5,0,5,0.071429
"Level_117","Assets/Resources/Levels/Microban1/Level_117.asset",11,10,110,48,0.436364,5,0.045455,5,0,5,0.045455
"Level_118","Assets/Resources/Levels/Microban1/Level_118.asset",10,10,100,43,0.43,4,0.04,4,0,4,0.04
"Level_119","Assets/Resources/Levels/Microban1/Level_119.asset",9,10,90,42,0.466667,3,0.033333,3,0,3,0.033333
"Level_120","Assets/Resources/Levels/Microban1/Level_120.asset",11,11,121,51,0.421488,4,0.033058,4,0,4,0.033058
"Level_121","Assets/Resources/Levels/Microban1/Level_121.asset",11,11,121,55,0.454546,5,0.041322,5,1,4,0.033058
"Level_122","Assets/Resources/Levels/Microban1/Level_122.asset",11,12,132,50,0.378788,5,0.037879,5,0,5,0.037879
"Level_123","Assets/Resources/Levels/Microban1/Level_123.asset",15,11,165,58,0.351515,5,0.030303,5,0,5,0.030303
"Level_124","Assets/Resources/Levels/Microban1/Level_124.asset",14,9,126,65,0.515873,3,0.02381,3,0,3,0.02381
"Level_125","Assets/Resources/Levels/Microban1/Level_125.asset",13,8,104,44,0.423077,4,0.038462,4,0,4,0.038462
"Level_126","Assets/Resources/Levels/Microban1/Level_126.asset",12,7,84,39,0.464286,7,0.083333,7,0,7,0.083333
"Level_127","Assets/Resources/Levels/Microban1/Level_127.asset",10,9,90,42,0.466667,4,0.044444,4,0,4,0.044444
"Level_128","Assets/Resources/Levels/Microban1/Level_128.asset",11,8,88,40,0.454546,4,0.045455,4,2,2,0.022727
"Level_129","Assets/Resources/Levels/Microban1/Level_129.asset",11,8,88,39,0.443182,5,0.056818,5,3,2,0.022727
"Level_130","Assets/Resources/Levels/Microban1/Level_130.asset",12,7,84,42,0.5,4,0.047619,4,0,4,0.047619
"Level_131","Assets/Resources/Levels/Microban1/Level_131.asset",7,11,77,34,0.441559,4,0.051948,4,0,4,0.051948
"Level_132","Assets/Resources/Levels/Microban1/Level_132.asset",10,8,80,36,0.45,4,0.05,4,1,3,0.0375
"Level_133","Assets/Resources/Levels/Microban1/Level_133.asset",10,8,80,37,0.4625,5,0.0625,5,0,5,0.0625
"Level_134","Assets/Resources/Levels/Microban1/Level_134.asset",12,10,120,52,0.433333,4,0.033333,4,0,4,0.033333
"Level_135","Assets/Resources/Levels/Microban1/Level_135.asset",11,7,77,38,0.493507,4,0.051948,4,0,4,0.051948
"Level_136","Assets/Resources/Levels/Microban1/Level_136.asset",9,8,72,36,0.5,4,0.055556,4,0,4,0.055556
"Level_137","Assets/Resources/Levels/Microban1/Level_137.asset",13,10,130,52,0.4,4,0.030769,4,0,4,0.030769
"Level_138","Assets/Resources/Levels/Microban1/Level_138.asset",12,11,132,48,0.363636,5,0.037879,5,0,5,0.037879
"Level_139","Assets/Resources/Levels/Microban1/Level_139.asset",16,12,192,64,0.333333,6,0.03125,6,0,6,0.03125
"Level_140","Assets/Resources/Levels/Microban1/Level_140.asset",14,9,126,55,0.436508,4,0.031746,4,0,4,0.031746
"Level_141","Assets/Resources/Levels/Microban1/Level_141.asset",10,9,90,43,0.477778,6,0.066667,6,2,4,0.044444
"Level_142","Assets/Resources/Levels/Microban1/Level_142.asset",9,9,81,32,0.395062,4,0.049383,4,0,4,0.049383
"Level_143","Assets/Resources/Levels/Microban1/Level_143.asset",9,15,135,57,0.422222,6,0.044444,6,0,6,0.044444
"Level_144","Assets/Resources/Levels/Microban1/Level_144.asset",12,12,144,52,0.361111,16,0.111111,16,4,12,0.083333
"Level_145","Assets/Resources/Levels/Microban1/Level_145.asset",11,11,121,41,0.338843,12,0.099174,12,0,12,0.099174
"Level_146","Assets/Resources/Levels/Microban1/Level_146.asset",9,9,81,32,0.395062,12,0.148148,12,0,12,0.148148
"Level_147","Assets/Resources/Levels/Microban1/Level_147.asset",12,10,120,47,0.391667,3,0.025,3,0,3,0.025
"Level_148","Assets/Resources/Levels/Microban1/Level_148.asset",15,7,105,48,0.457143,4,0.038095,4,0,4,0.038095
"Level_149","Assets/Resources/Levels/Microban1/Level_149.asset",10,12,120,47,0.391667,4,0.033333,4,0,4,0.033333
"Level_150","Assets/Resources/Levels/Microban1/Level_150.asset",15,8,120,48,0.4,5,0.041667,5,0,5,0.041667
"Level_151","Assets/Resources/Levels/Microban1/Level_151.asset",12,10,120,46,0.383333,4,0.033333,4,0,4,0.033333
"Level_152","Assets/Resources/Levels/Microban1/Level_152.asset",15,9,135,62,0.459259,4,0.02963,4,1,3,0.022222
"Level_153","Assets/Resources/Levels/Microban1/Level_153.asset",13,10,130,62,0.476923,10,0.076923,10,0,10,0.076923
"Level_154","Assets/Resources/Levels/Microban1/Level_154.asset",29,17,493,262,0.53144,1,0.002028,1,0,1,0.002028
"Level_155","Assets/Resources/Levels/Microban1/Level_155.asset",30,17,510,246,0.482353,11,0.021569,11,10,1,0.001961
"Microban II_001","Assets/Resources/Levels/Microban2/Microban II_001.asset",6,8,48,24,0.5,2,0.041667,2,0,2,0.041667
"Microban II_002","Assets/Resources/Levels/Microban2/Microban II_002.asset",6,8,48,26,0.541667,2,0.041667,2,1,1,0.020833
"Microban II_003","Assets/Resources/Levels/Microban2/Microban II_003.asset",7,8,56,28,0.5,2,0.035714,2,0,2,0.035714
"Microban II_004","Assets/Resources/Levels/Microban2/Microban II_004.asset",10,8,80,35,0.4375,2,0.025,2,0,2,0.025
"Microban II_005","Assets/Resources/Levels/Microban2/Microban II_005.asset",8,7,56,26,0.464286,2,0.035714,2,0,2,0.035714
"Microban II_006","Assets/Resources/Levels/Microban2/Microban II_006.asset",9,8,72,32,0.444444,2,0.027778,2,1,1,0.013889
"Microban II_007","Assets/Resources/Levels/Microban2/Microban II_007.asset",7,7,49,27,0.55102,2,0.040816,2,0,2,0.040816
"Microban II_008","Assets/Resources/Levels/Microban2/Microban II_008.asset",8,7,56,27,0.482143,3,0.053571,3,2,1,0.017857
"Microban II_009","Assets/Resources/Levels/Microban2/Microban II_009.asset",6,7,42,24,0.571429,3,0.071429,3,1,2,0.047619
"Microban II_010","Assets/Resources/Levels/Microban2/Microban II_010.asset",7,6,42,22,0.52381,3,0.071429,3,0,3,0.071429
"Microban II_011","Assets/Resources/Levels/Microban2/Microban II_011.asset",6,6,36,21,0.583333,3,0.083333,3,0,3,0.083333
"Microban II_012","Assets/Resources/Levels/Microban2/Microban II_012.asset",8,9,72,34,0.472222,3,0.041667,3,1,2,0.027778
"Microban II_013","Assets/Resources/Levels/Microban2/Microban II_013.asset",7,8,56,30,0.535714,3,0.053571,3,1,2,0.035714
"Microban II_014","Assets/Resources/Levels/Microban2/Microban II_014.asset",7,7,49,24,0.489796,3,0.061224,3,0,3,0.061224
"Microban II_015","Assets/Resources/Levels/Microban2/Microban II_015.asset",7,7,49,25,0.510204,3,0.061224,3,2,1,0.020408
"Microban II_016","Assets/Resources/Levels/Microban2/Microban II_016.asset",8,8,64,30,0.46875,3,0.046875,3,0,3,0.046875
"Microban II_017","Assets/Resources/Levels/Microban2/Microban II_017.asset",6,8,48,26,0.541667,3,0.0625,3,1,2,0.041667
"Microban II_018","Assets/Resources/Levels/Microban2/Microban II_018.asset",7,8,56,29,0.517857,3,0.053571,3,0,3,0.053571
"Microban II_019","Assets/Resources/Levels/Microban2/Microban II_019.asset",7,8,56,29,0.517857,3,0.053571,3,0,3,0.053571
"Microban II_020","Assets/Resources/Levels/Microban2/Microban II_020.asset",7,8,56,27,0.482143,3,0.053571,3,1,2,0.035714
"Microban II_021","Assets/Resources/Levels/Microban2/Microban II_021.asset",9,11,99,41,0.414141,2,0.020202,2,0,2,0.020202
"Microban II_022","Assets/Resources/Levels/Microban2/Microban II_022.asset",11,9,99,49,0.49495,2,0.020202,2,0,2,0.020202
"Microban II_023","Assets/Resources/Levels/Microban2/Microban II_023.asset",12,8,96,47,0.489583,2,0.020833,2,0,2,0.020833
"Microban II_024","Assets/Resources/Levels/Microban2/Microban II_024.asset",12,12,144,61,0.423611,2,0.013889,2,0,2,0.013889
"Microban II_025","Assets/Resources/Levels/Microban2/Microban II_025.asset",7,8,56,27,0.482143,4,0.071429,4,0,4,0.071429
"Microban II_026","Assets/Resources/Levels/Microban2/Microban II_026.asset",8,8,64,36,0.5625,4,0.0625,4,1,3,0.046875
"Microban II_027","Assets/Resources/Levels/Microban2/Microban II_027.asset",7,10,70,36,0.514286,5,0.071429,5,2,3,0.042857
"Microban II_028","Assets/Resources/Levels/Microban2/Microban II_028.asset",9,8,72,33,0.458333,3,0.041667,3,1,2,0.027778
"Microban II_029","Assets/Resources/Levels/Microban2/Microban II_029.asset",8,8,64,31,0.484375,3,0.046875,3,1,2,0.03125
"Microban II_030","Assets/Resources/Levels/Microban2/Microban II_030.asset",14,9,126,56,0.444444,3,0.02381,3,0,3,0.02381
"Microban II_031","Assets/Resources/Levels/Microban2/Microban II_031.asset",10,9,90,42,0.466667,3,0.033333,3,0,3,0.033333
"Microban II_032","Assets/Resources/Levels/Microban2/Microban II_032.asset",8,10,80,36,0.45,3,0.0375,3,0,3,0.0375
"Microban II_033","Assets/Resources/Levels/Microban2/Microban II_033.asset",11,7,77,47,0.61039,3,0.038961,3,0,3,0.038961
"Microban II_034","Assets/Resources/Levels/Microban2/Microban II_034.asset",9,11,99,41,0.414141,3,0.030303,3,0,3,0.030303
"Microban II_035","Assets/Resources/Levels/Microban2/Microban II_035.asset",12,11,132,56,0.424242,3,0.022727,3,0,3,0.022727
"Microban II_036","Assets/Resources/Levels/Microban2/Microban II_036.asset",11,8,88,41,0.465909,3,0.034091,3,2,1,0.011364
"Microban II_037","Assets/Resources/Levels/Microban2/Microban II_037.asset",8,10,80,35,0.4375,3,0.0375,3,0,3,0.0375
"Microban II_038","Assets/Resources/Levels/Microban2/Microban II_038.asset",8,9,72,34,0.472222,3,0.041667,3,0,3,0.041667
"Microban II_039","Assets/Resources/Levels/Microban2/Microban II_039.asset",8,9,72,35,0.486111,3,0.041667,3,1,2,0.027778
"Microban II_040","Assets/Resources/Levels/Microban2/Microban II_040.asset",6,9,54,28,0.518519,3,0.055556,3,2,1,0.018519
"Microban II_041","Assets/Resources/Levels/Microban2/Microban II_041.asset",8,7,56,29,0.517857,3,0.053571,3,1,2,0.035714
"Microban II_042","Assets/Resources/Levels/Microban2/Microban II_042.asset",10,8,80,38,0.475,3,0.0375,3,0,3,0.0375
"Microban II_043","Assets/Resources/Levels/Microban2/Microban II_043.asset",11,8,88,37,0.420455,3,0.034091,3,0,3,0.034091
"Microban II_044","Assets/Resources/Levels/Microban2/Microban II_044.asset",11,10,110,49,0.445455,3,0.027273,3,0,3,0.027273
"Microban II_045","Assets/Resources/Levels/Microban2/Microban II_045.asset",13,7,91,43,0.472528,4,0.043956,4,0,4,0.043956
"Microban II_046","Assets/Resources/Levels/Microban2/Microban II_046.asset",12,10,120,53,0.441667,3,0.025,3,0,3,0.025
"Microban II_047","Assets/Resources/Levels/Microban2/Microban II_047.asset",9,11,99,44,0.444444,4,0.040404,4,0,4,0.040404
"Microban II_048","Assets/Resources/Levels/Microban2/Microban II_048.asset",10,7,70,33,0.471429,4,0.057143,4,0,4,0.057143
"Microban II_049","Assets/Resources/Levels/Microban2/Microban II_049.asset",7,9,63,29,0.460318,4,0.063492,4,0,4,0.063492
"Microban II_050","Assets/Resources/Levels/Microban2/Microban II_050.asset",9,7,63,32,0.507937,4,0.063492,4,2,2,0.031746
"Microban II_051","Assets/Resources/Levels/Microban2/Microban II_051.asset",8,7,56,30,0.535714,4,0.071429,4,0,4,0.071429
"Microban II_052","Assets/Resources/Levels/Microban2/Microban II_052.asset",8,9,72,32,0.444444,3,0.041667,3,1,2,0.027778
"Microban II_053","Assets/Resources/Levels/Microban2/Microban II_053.asset",8,7,56,27,0.482143,3,0.053571,3,0,3,0.053571
"Microban II_054","Assets/Resources/Levels/Microban2/Microban II_054.asset",11,12,132,49,0.371212,3,0.022727,3,0,3,0.022727
"Microban II_055","Assets/Resources/Levels/Microban2/Microban II_055.asset",9,13,117,51,0.435897,3,0.025641,3,0,3,0.025641
"Microban II_056","Assets/Resources/Levels/Microban2/Microban II_056.asset",8,8,64,31,0.484375,3,0.046875,3,1,2,0.03125
"Microban II_057","Assets/Resources/Levels/Microban2/Microban II_057.asset",8,8,64,29,0.453125,4,0.0625,4,3,1,0.015625
"Microban II_058","Assets/Resources/Levels/Microban2/Microban II_058.asset",9,9,81,35,0.432099,4,0.049383,4,0,4,0.049383
"Microban II_059","Assets/Resources/Levels/Microban2/Microban II_059.asset",10,8,80,40,0.5,3,0.0375,3,0,3,0.0375
"Microban II_060","Assets/Resources/Levels/Microban2/Microban II_060.asset",17,7,119,60,0.504202,3,0.02521,3,0,3,0.02521
"Microban II_061","Assets/Resources/Levels/Microban2/Microban II_061.asset",10,6,60,28,0.466667,5,0.083333,5,0,5,0.083333
"Microban II_062","Assets/Resources/Levels/Microban2/Microban II_062.asset",9,8,72,30,0.416667,4,0.055556,4,0,4,0.055556
"Microban II_063","Assets/Resources/Levels/Microban2/Microban II_063.asset",12,9,108,39,0.361111,4,0.037037,4,0,4,0.037037
"Microban II_064","Assets/Resources/Levels/Microban2/Microban II_064.asset",10,7,70,35,0.5,4,0.057143,4,1,3,0.042857
"Microban II_065","Assets/Resources/Levels/Microban2/Microban II_065.asset",9,10,90,43,0.477778,5,0.055556,5,4,1,0.011111
